Company,Description,Contact Name,Website,Public Contact
Dahua Technology,AI-powered video surveillance and smart IoT solutions,Fu Liquan (Founder & Chairman),https://www.dahuasecurity.com,LinkedIn: /company/dahua-technology
i2V Systems,AI video analytics for smart cities and traffic management,Ranjit Nair (Founder & CEO),https://www.i2vsys.com,LinkedIn: /company/i2v-systems
Vintra,AI video analytics platform for real-time security monitoring,Brent Watkins (CEO),https://www.vintra.io,LinkedIn: /company/vintra
AnyVision (Oosto),Face recognition and CV platform for physical security,Avi Golan (CEO),https://www.oosto.com,LinkedIn: /company/oosto
Paravision,Enterprise face recognition and computer vision API,Doug Aley (CEO),https://www.paravision.ai,LinkedIn: /company/paravision
Corsight AI,Autonomous facial intelligence and real-time video analytics,Rob Sobhani (CEO),https://www.corsight.ai,LinkedIn: /company/corsight-ai
DeepBrain AI,AI human video generation and virtual assistant platform,Eric Jang (Founder & CEO),https://www.deepbrain.io,LinkedIn: /company/deepbrain-ai
Colossyan,AI video generation platform for workplace learning and training,Dominik Kovacs (Co-Founder & CEO),https://www.colossyan.com,LinkedIn: /company/colossyan
Synthflow AI,Conversational AI with video avatar capabilities for sales,Hakob Astabatsyan & Albert Astabatsyan (Co-Founders),https://synthflow.ai,LinkedIn: /company/synthflow
Tavus,AI video personalization platform for 1-to-1 videos at scale,Hassaan Raza (Co-Founder & CEO),https://www.tavus.io,LinkedIn: /company/tavus
Elai.io,AI video generation platform with 80+ diverse AI presenters,Vitalii Doshchechkin (Co-Founder & CEO),https://elai.io,LinkedIn: /company/elai-io
Hour One,AI video generation platform for professional content creators,Oren Aharon (Co-Founder & CEO),https://hourone.ai,LinkedIn: /company/hourone-ai
D-ID,AI-powered digital humans and video generation from text,Gil Perry (Co-Founder & CEO),https://www.d-id.com,LinkedIn: /company/de-identification
Rephrase.ai (Adobe),AI video generation for personalized content (acquired by Adobe),Ashray Malhotra (Co-Founder & CEO),https://www.rephrase.ai,Now part of Adobe
Movio,AI-powered spokesperson video creation for enterprise,Martin Rapos (CEO),https://www.movio.la,LinkedIn: /company/movio-ai
Visionary.ai,AI video and image super-resolution technology for enterprise,Raz Birenberg (CEO),https://www.visionary.ai,LinkedIn: /company/visionary-ai
AnyClip,AI-powered intelligent video management and analytics platform,Gil Becker (CEO & Co-Founder),https://www.anyclip.com,LinkedIn: /company/anyclip
Wistia,Video hosting and analytics platform for business marketing,Chris Savage (Co-Founder & CEO),https://wistia.com,LinkedIn: /company/wistia
Vidyard,AI-powered video platform for B2B sales and marketing,Michael Litt (Co-Founder & CEO),https://www.vidyard.com,LinkedIn: /company/vidyard
Kaltura,Enterprise video platform with AI-powered analytics and search,Michal Tsur (Co-Founder & President),https://corp.kaltura.com,LinkedIn: /company/kaltura
Vimeo,Video platform with AI-powered creation and analytics tools,Philip Moyer (CEO),https://vimeo.com,LinkedIn: /company/vimeo
Brightcove,Enterprise video platform with AI-powered content intelligence,Marc DeBevoise (CEO),https://www.brightcove.com,LinkedIn: /company/brightcove
Momento,AI-powered video highlights and clip extraction platform,Founders via LinkedIn,https://www.getmomento.com,LinkedIn: /company/momento-ai
